temp_catalunya,precip_catalunya
7.509677419354839,25.0
7.310714285714286,58.099999999999994
10.283870967741937,119.3
12.816666666666666,86.2
14.525806451612903,47.400000000000006
19.69,49.5
25.103225806451615,19.1
23.641935483870967,49.9
20.853333333333335,10.9
18.54516129032258,13.3
10.06,92.60000000000001
5.761290322580645,23.2
8.129032258064516,26.8
8.371428571428572,16.4
11.280645161290321,34.2
14.91,75.7
16.970967741935485,47.0
21.67,34.7
23.309677419354838,41.699999999999996
23.07741935483871,78.1
21.53666666666667,91.9
18.270967741935483,14.100000000000001
12.093333333333334,141.0
6.967741935483871,34.0
5.996774193548387,23.5
6.175,20.8
11.029032258064515,111.60000000000001
13.716666666666667,24.3
19.193548387096776,10.499999999999998
22.959999999999997,34.9
26.42258064516129,49.4
23.4,70.5
19.003333333333334,105.1
15.535483870967743,37.3
11.729999999999999,59.7
9.464516129032257,2.5
8.96774193548387,12.0
8.955172413793104,56.0
9.564516129032258,43.300000000000004
12.753333333333334,69.6
16.374193548387098,39.800000000000004
22.10666666666667,8.6
25.187096774193545,4.0
24.59032258064516,9.4
21.64333333333333,47.6
16.68064516129032,66.9
10.776666666666667,97.5
6.809677419354839,32.9
4.951612903225806,78.7
9.260714285714286,14.5
11.864516129032259,66.7
13.91,20.7
18.593548387096774,23.1
23.486666666666668,50.1
24.603225806451615,20.9
24.72258064516129,22.3
19.706666666666667,29.1
17.780645161290323,9.2
10.083333333333334,14.600000000000001
6.709677419354839,6.3
9.241935483870968,34.3
6.289285714285714,61.0
10.077419354838709,40.5
13.793333333333333,94.89999999999999
16.88064516129032,101.7
21.71333333333333,40.2
25.85483870967742,27.8
25.338709677419356,54.4
22.279999999999998,53.2
15.709677419354838,147.4
10.613333333333333,83.39999999999999
8.206451612903226,7.9
5.570967741935483,9.0
8.682142857142857,5.6
12.02258064516129,9.0
13.106666666666666,42.4
16.616129032258065,45.199999999999996
21.65666666666667,15.600000000000001
25.96451612903226,28.1
25.04516129032258,58.3
21.423333333333336,43.1
17.5,101.2
10.713333333333333,25.7
9.138709677419355,100.9
6.393548387096774,167.7
10.49655172413793,1.5
10.80967741935484,89.7
12.97,140.4
18.299999999999997,87.8
20.403333333333332,51.1
24.925806451612903,9.1
25.27741935483871,31.1
20.956666666666667,22.4
15.280645161290321,17.2
12.043333333333333,76.3
7.629032258064516,18.8
