temp_duero,precip_duero
4.429032258064517,74.7
3.4499999999999997,60.199999999999996
6.22258064516129,138.79999999999998
8.889999999999999,60.0
9.951612903225806,59.1
15.736666666666668,42.599999999999994
23.641935483870967,12.4
22.293548387096774,6.2
18.653333333333332,41.7
13.270967741935483,93.69999999999999
6.5233333333333325,30.0
3.4516129032258065,52.49999999999999
5.441935483870967,88.6
4.721428571428571,72.4
7.464516129032258,45.5
12.323333333333332,37.4
13.69032258064516,34.7
18.67,24.7
20.54516129032258,25.299999999999997
21.883870967741935,3.4
19.67,17.9
15.83548387096774,43.9
9.24,84.0
4.048387096774194,24.5
2.7838709677419353,36.9
3.1785714285714284,40.5
7.809677419354839,32.0
11.79,35.7
15.787096774193548,9.3
20.413333333333334,67.5
25.625806451612902,12.9
22.61935483870968,9.4
17.01,16.900000000000002
13.003225806451614,46.199999999999996
9.196666666666665,27.9
6.632258064516129,9.3
6.129032258064516,110.0
5.041379310344827,107.3
5.354838709677419,61.6
8.516666666666667,86.1
12.82258064516129,42.6
18.9,20.8
23.683870967741935,8.6
23.654838709677417,2.0
19.95,16.1
14.577419354838709,38.5
7.23,78.2
5.370967741935484,9.6
3.07741935483871,14.9
6.317857142857143,68.6
9.264516129032257,25.5
12.783333333333333,12.0
17.338709677419356,44.6
23.063333333333333,30.8
23.638709677419353,8.6
23.261290322580646,18.3
17.86,3.4
15.83548387096774,15.0
7.393333333333333,24.8
4.164516129032258,43.5
4.348387096774194,72.4
2.789285714285714,55.2
5.774193548387097,110.5
10.436666666666667,83.0
13.151612903225805,57.4
17.990000000000002,58.4
22.19677419354839,20.0
23.751612903225805,0.4
21.196666666666665,20.2
12.938709677419356,30.1
8.226666666666667,84.9
6.080645161290323,24.599999999999998
2.9709677419354836,40.3
6.085714285714286,15.9
9.080645161290322,9.4
9.793333333333333,85.8
13.964516129032257,22.599999999999998
20.69333333333333,33.6
24.393548387096775,31.1
23.493548387096773,13.5
18.183333333333334,20.5
14.490322580645161,58.3
7.2,92.0
6.261290322580645,70.5
4.232258064516128,17.3
8.113793103448277,5.5
8.706451612903225,45.4
11.676666666666668,100.9
16.596774193548388,68.7
18.19333333333333,36.5
24.335483870967742,14.0
22.45483870967742,37.5
18.44,32.7
11.332258064516129,73.1
9.34,18.1
5.041935483870968,61.4
