temp_rioja,precip_rioja
5.690322580645161,126.9
4.760714285714286,89.2
7.932258064516129,132.2
9.703333333333335,57.3
9.938709677419356,86.0
14.583333333333334,107.30000000000001
21.5258064516129,19.8
19.43548387096774,13.399999999999999
17.613333333333333,27.5
14.803225806451614,22.8
7.52,75.5
4.596774193548387,34.4
6.909677419354838,66.3
6.160714285714286,53.4
8.33548387096774,69.0
12.366666666666667,43.0
12.748387096774193,44.5
17.80666666666667,28.9
18.822580645161292,33.1
19.44516129032258,16.9
19.473333333333336,33.5
16.325806451612905,32.9
10.236666666666668,114.8
5.496774193548387,53.3
4.109677419354839,58.8
3.685714285714286,102.1
7.609677419354839,73.0
11.35,49.9
14.429032258064517,11.9
18.17,76.2
21.274193548387096,34.3
20.845161290322583,32.9
15.933333333333334,29.4
13.061290322580644,41.2
10.236666666666668,55.7
7.193548387096774,3.2
7.312903225806451,86.0
6.6000000000000005,116.6
6.548387096774194,78.2
9.25,42.2
13.422580645161291,56.199999999999996
17.10666666666667,40.2
19.925806451612903,7.8999999999999995
21.067741935483873,3.3
19.046666666666667,22.3
13.96774193548387,26.0
8.086666666666666,94.6
6.058064516129033,7.7
3.2419354838709675,54.699999999999996
7.392857142857143,50.2
9.674193548387096,56.6
11.01,22.400000000000002
16.651612903225807,64.3
20.09,42.400000000000006
20.625806451612902,3.6999999999999997
20.700000000000003,35.8
16.416666666666668,18.1
15.138709677419355,26.099999999999998
7.863333333333333,35.1
5.34516129032258,66.7
6.003225806451613,117.2
3.542857142857143,81.1
7.032258064516129,72.8
11.333333333333334,118.4
12.874193548387098,73.4
17.209999999999997,57.6
20.61935483870968,36.9
20.54516129032258,24.9
19.35,18.0
12.874193548387098,61.099999999999994
8.91,82.3
6.851612903225806,20.700000000000003
3.9451612903225803,84.60000000000001
6.792857142857143,21.5
8.735483870967743,12.0
10.386666666666667,92.1
12.380645161290323,53.8
18.89,33.1
20.983870967741936,43.4
21.080645161290324,23.5
17.98,10.6
15.038709677419355,76.4
8.766666666666667,92.4
7.645161290322581,58.4
5.441935483870967,47.4
8.889655172413793,8.1
8.787096774193548,99.0
12.553333333333335,84.5
16.77741935483871,38.5
17.58,57.7
20.758064516129032,11.3
21.72258064516129,20.8
18.90666666666667,27.1
12.641935483870967,61.4
9.886666666666667,39.7
6.661290322580645,92.60000000000001
