month,temp_rioja,month,precip_rioja,temp_catalunya,precip_catalunya,temp_duero,precip_duero
2013-01,5.690322580645161,2013-01,126.9,7.509677419354839,25.0,4.429032258064517,74.7
2013-02,4.760714285714286,2013-02,89.2,7.310714285714286,58.1,3.45,60.2
2013-03,7.932258064516129,2013-03,132.2,10.283870967741937,119.3,6.22258064516129,138.79999999999998
2013-04,9.703333333333335,2013-04,57.3,12.816666666666666,86.2,8.889999999999999,60.0
2013-05,9.938709677419356,2013-05,86.0,14.525806451612905,47.400000000000006,9.951612903225806,59.1
2013-06,14.583333333333334,2013-06,107.30000000000001,19.69,49.5,15.736666666666668,42.6
2013-07,21.5258064516129,2013-07,19.8,25.10322580645161,19.1,23.641935483870967,12.4
2013-08,19.43548387096774,2013-08,13.399999999999999,23.641935483870967,49.9,22.293548387096774,6.2
2013-09,17.613333333333333,2013-09,27.5,20.85333333333333,10.9,18.65333333333333,41.7
2013-10,14.803225806451614,2013-10,22.8,18.54516129032258,13.3,13.270967741935484,93.7
2013-11,7.52,2013-11,75.5,10.06,92.6,6.5233333333333325,30.0
2013-12,4.596774193548387,2013-12,34.4,5.761290322580645,23.2,3.4516129032258065,52.49999999999999
2014-01,6.909677419354838,2014-01,66.3,8.129032258064516,26.8,5.441935483870967,88.6
2014-02,6.160714285714286,2014-02,53.4,8.371428571428572,16.4,4.721428571428571,72.4
2014-03,8.33548387096774,2014-03,69.0,11.28064516129032,34.2,7.464516129032258,45.5
2014-04,12.366666666666667,2014-04,43.0,14.91,75.7,12.323333333333332,37.4
2014-05,12.748387096774193,2014-05,44.5,16.970967741935485,47.0,13.69032258064516,34.7
2014-06,17.80666666666667,2014-06,28.9,21.67,34.7,18.67,24.7
2014-07,18.822580645161292,2014-07,33.1,23.30967741935484,41.7,20.54516129032258,25.3
2014-08,19.44516129032258,2014-08,16.9,23.07741935483871,78.1,21.88387096774193,3.4
2014-09,19.473333333333336,2014-09,33.5,21.53666666666667,91.9,19.67,17.9
2014-10,16.325806451612905,2014-10,32.9,18.270967741935483,14.1,15.83548387096774,43.9
2014-11,10.236666666666668,2014-11,114.8,12.093333333333334,141.0,9.24,84.0
2014-12,5.496774193548387,2014-12,53.3,6.967741935483871,34.0,4.048387096774194,24.5
2015-01,4.109677419354839,2015-01,58.8,5.996774193548387,23.5,2.7838709677419358,36.9
2015-02,3.685714285714286,2015-02,102.1,6.175,20.8,3.1785714285714284,40.5
2015-03,7.609677419354839,2015-03,73.0,11.029032258064516,111.6,7.809677419354839,32.0
2015-04,11.35,2015-04,49.9,13.716666666666669,24.3,11.79,35.7
2015-05,14.429032258064517,2015-05,11.9,19.193548387096776,10.499999999999998,15.787096774193548,9.3
2015-06,18.17,2015-06,76.2,22.96,34.9,20.41333333333333,67.5
2015-07,21.274193548387096,2015-07,34.3,26.42258064516129,49.4,25.625806451612902,12.9
2015-08,20.845161290322583,2015-08,32.9,23.4,70.5,22.61935483870968,9.4
2015-09,15.933333333333334,2015-09,29.4,19.00333333333333,105.1,17.01,16.900000000000002
2015-10,13.061290322580644,2015-10,41.2,15.535483870967743,37.3,13.003225806451614,46.2
2015-11,10.236666666666668,2015-11,55.7,11.73,59.7,9.196666666666664,27.9
2015-12,7.193548387096774,2015-12,3.2,9.464516129032257,2.5,6.632258064516129,9.3
2016-01,7.312903225806451,2016-01,86.0,8.96774193548387,12.0,6.129032258064516,110.0
2016-02,6.6000000000000005,2016-02,116.6,8.955172413793104,56.0,5.041379310344827,107.3
2016-03,6.548387096774194,2016-03,78.2,9.564516129032258,43.3,5.354838709677419,61.6
2016-04,9.25,2016-04,42.2,12.753333333333334,69.6,8.516666666666667,86.1
2016-05,13.422580645161291,2016-05,56.199999999999996,16.374193548387098,39.8,12.82258064516129,42.6
2016-06,17.10666666666667,2016-06,40.2,22.10666666666667,8.6,18.9,20.8
2016-07,19.925806451612903,2016-07,7.8999999999999995,25.187096774193545,4.0,23.68387096774193,8.6
2016-08,21.067741935483873,2016-08,3.3,24.59032258064516,9.4,23.654838709677417,2.0
2016-09,19.046666666666667,2016-09,22.3,21.64333333333333,47.6,19.95,16.1
2016-10,13.96774193548387,2016-10,26.0,16.68064516129032,66.9,14.577419354838709,38.5
2016-11,8.086666666666666,2016-11,94.6,10.776666666666667,97.5,7.23,78.2
2016-12,6.058064516129033,2016-12,7.7,6.809677419354839,32.9,5.370967741935484,9.6
2017-01,3.2419354838709675,2017-01,54.699999999999996,4.951612903225806,78.7,3.07741935483871,14.9
2017-02,7.392857142857143,2017-02,50.2,9.260714285714286,14.5,6.317857142857143,68.6
2017-03,9.674193548387096,2017-03,56.6,11.86451612903226,66.7,9.264516129032256,25.5
2017-04,11.01,2017-04,22.400000000000002,13.91,20.7,12.783333333333331,12.0
2017-05,16.651612903225807,2017-05,64.3,18.59354838709677,23.1,17.338709677419356,44.6
2017-06,20.09,2017-06,42.400000000000006,23.486666666666668,50.1,23.063333333333333,30.8
2017-07,20.625806451612902,2017-07,3.6999999999999997,24.60322580645161,20.9,23.638709677419357,8.6
2017-08,20.700000000000003,2017-08,35.8,24.72258064516129,22.3,23.26129032258065,18.3
2017-09,16.416666666666668,2017-09,18.1,19.706666666666667,29.1,17.86,3.4
2017-10,15.138709677419355,2017-10,26.099999999999998,17.780645161290323,9.2,15.83548387096774,15.0
2017-11,7.863333333333333,2017-11,35.1,10.083333333333334,14.6,7.393333333333333,24.8
2017-12,5.34516129032258,2017-12,66.7,6.709677419354839,6.3,4.164516129032258,43.5
2018-01,6.003225806451613,2018-01,117.2,9.241935483870968,34.3,4.348387096774194,72.4
2018-02,3.542857142857143,2018-02,81.1,6.289285714285714,61.0,2.789285714285714,55.2
2018-03,7.032258064516129,2018-03,72.8,10.077419354838709,40.5,5.774193548387097,110.5
2018-04,11.333333333333334,2018-04,118.4,13.793333333333331,94.9,10.436666666666667,83.0
2018-05,12.874193548387098,2018-05,73.4,16.88064516129032,101.7,13.151612903225804,57.4
2018-06,17.209999999999997,2018-06,57.6,21.71333333333333,40.2,17.990000000000002,58.4
2018-07,20.61935483870968,2018-07,36.9,25.85483870967742,27.8,22.19677419354839,20.0
2018-08,20.54516129032258,2018-08,24.9,25.33870967741936,54.4,23.751612903225805,0.4
2018-09,19.35,2018-09,18.0,22.28,53.2,21.196666666666665,20.2
2018-10,12.874193548387098,2018-10,61.099999999999994,15.709677419354838,147.4,12.938709677419356,30.1
2018-11,8.91,2018-11,82.3,10.613333333333332,83.39999999999999,8.226666666666667,84.9
2018-12,6.851612903225806,2018-12,20.700000000000003,8.206451612903226,7.9,6.080645161290323,24.6
2019-01,3.9451612903225803,2019-01,84.60000000000001,5.570967741935483,9.0,2.970967741935484,40.3
2019-02,6.792857142857143,2019-02,21.5,8.682142857142857,5.6,6.085714285714286,15.9
2019-03,8.735483870967743,2019-03,12.0,12.02258064516129,9.0,9.080645161290322,9.4
2019-04,10.386666666666667,2019-04,92.1,13.106666666666666,42.4,9.793333333333331,85.8
2019-05,12.380645161290323,2019-05,53.8,16.616129032258065,45.2,13.964516129032257,22.6
2019-06,18.89,2019-06,33.1,21.65666666666667,15.6,20.69333333333333,33.6
2019-07,20.983870967741936,2019-07,43.4,25.96451612903226,28.1,24.39354838709677,31.1
2019-08,21.080645161290324,2019-08,23.5,25.04516129032258,58.3,23.493548387096773,13.5
2019-09,17.98,2019-09,10.6,21.423333333333336,43.1,18.183333333333334,20.5
2019-10,15.038709677419355,2019-10,76.4,17.5,101.2,14.49032258064516,58.3
2019-11,8.766666666666667,2019-11,92.4,10.713333333333331,25.7,7.2,92.0
2019-12,7.645161290322581,2019-12,58.4,9.138709677419357,100.9,6.261290322580645,70.5
2020-01,5.441935483870967,2020-01,47.4,6.393548387096774,167.7,4.232258064516128,17.3
2020-02,8.889655172413793,2020-02,8.1,10.49655172413793,1.5,8.113793103448277,5.5
2020-03,8.787096774193548,2020-03,99.0,10.80967741935484,89.7,8.706451612903225,45.4
2020-04,12.553333333333335,2020-04,84.5,12.97,140.4,11.676666666666668,100.9
2020-05,16.77741935483871,2020-05,38.5,18.3,87.8,16.596774193548388,68.7
2020-06,17.58,2020-06,57.7,20.40333333333333,51.1,18.19333333333333,36.5
2020-07,20.758064516129032,2020-07,11.3,24.925806451612903,9.1,24.335483870967742,14.0
2020-08,21.72258064516129,2020-08,20.8,25.27741935483871,31.1,22.45483870967742,37.5
2020-09,18.90666666666667,2020-09,27.1,20.956666666666667,22.4,18.44,32.7
2020-10,12.641935483870967,2020-10,61.4,15.28064516129032,17.2,11.332258064516129,73.1
2020-11,9.886666666666667,2020-11,39.7,12.043333333333331,76.3,9.34,18.1
2020-12,6.661290322580645,2020-12,92.60000000000001,7.629032258064516,18.8,5.041935483870968,61.4
